,planet_name,host_name,orbital_period_[days],orbit_semi-major_axis_[au]),planet_radius,planet_mass,planet_density,eccentricity,equilibrium_temperature_[k],ratio_of_semi-major_axis_to_stellar_radius,stellar_effective_temperature_[k],stellar_radius_[solar_radius],stellar_mass_[solar_mass],stellar_metallicity_[dex],distance_[pc],number_of_planets,insolation_flux_earth,stellar_surface_gravity,stellar_age_[gyr]
0,11 Com b,11 Com,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231, ,14.599543022985905,4742.00,19.00,2.70,-0.350,93.1846000,1, ,2.31, 
1,11 UMi b,11 UMi,516.21997000,1.530000,12.300,4684.81420,13.800000,0.08, ,11.04394106752956,4213.00,29.79,2.78,-0.020,125.3210000,1, ,1.93,1.560
2,14 And b,14 And,185.84000000,0.830000,12.900,1525.50000,3.900000,0.0, ,16.225144007927252,4813.00,11.00,2.20,-0.240,75.4392000,1, ,2.63,4.500
3,14 Her b,14 Her,1765.03890112,2.773069,12.600,2586.74645,7.110000,0.372689, ,641.1813480478131,5338.00,0.93,0.91,0.405,17.9323000,2, ,4.45,3.900
4,16 Cyg B b,16 Cyg B,798.50000000,1.660000,13.500,565.73740,1.260000,0.68, ,315.8877594463713,5750.00,1.13,1.08,0.060,21.1397000,1, ,4.36,7.400
5,17 Sco b,17 Sco,578.38000000,1.450000,12.900,1373.01872,3.510000,0.06, ,12.029183722224065,4157.00,25.92,1.22,-0.010,124.9530000,1, ,1.70,5.130
6,18 Del b,18 Del,993.30000000,2.600000,12.500,3273.50000,9.210000,0.08, ,65.77450299457398,4979.00,8.50,2.30,-0.052,76.2220000,1, ,2.82,1.100
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524, ,330.000000,18.647,3000.00000,2.540000,0.0,1700,54168.37372277745,4060.00,1.31,0.85, ,139.1350000,1, ,4.00,0.005
8,24 Boo b,24 Boo,30.35060000,0.190000,13.900,289.22530,0.592000,0.042, ,3.839857661084332,4893.00,10.64,0.99,-0.770,95.9863000,1, ,2.42,6.920
9,24 Sex b,24 Sex,452.80000000,1.333000,13.400,632.46000,1.440000,0.09, ,58.497488711147604,5098.00,4.90,1.54,-0.030,72.0691000,2, ,3.50,2.700
